"Staining_condition","CD3","CD45","CD15","CD4","CD8","CD11b","Tox/Tox2","CD20","CD11c","H3K27me3","Ki67","HLADRA","pS6","CD68","FOXP3","PD1","Pax5","H3K27ac","Granzyme B","CD31","IDO1","CD138","Na/KATPase","CD45RA","CK"
"BIDMC_Slide1",0.135444625924079,0.143585763690486,0.0621205113040011,NA,0.113251986565837,NA,0.066810834148997,0.146741703061248,0.0263472584637444,0.147218820547393,0.130810573800201,0.142147023139107,0.0808935338810868,0.126341241665619,0.089174763180271,0.0449302293648652,0.261335344764838,0.0674436694510237,0.0634864557058914,0.049429021975364,0.0383354022159375,0.145934995222692,0.057955844880478,0.193923262317022,0.228145493718819
"BIDMC_Slide10",0.1503370792618,0.173226993545061,0.0620516882137019,0.163951652858734,0.0831246724869477,0.0736838486911616,0.0990407874761652,0.109245575142202,0.0577699239233813,0.192011364452728,0.141581658073121,0.152528316245499,0.10007849481367,0.119072524457594,0.0942035080731191,0.0868227100536551,0.205635354624697,0.118855202847051,0.119817866610017,0.109087463207859,0.143835882447704,0.226276720508763,0.119884402917116,0.264395514984361,0.265801586789176
"BIDMC_Slide11",0.175484423478935,0.150466044275361,0.162091666297696,0.139868817942124,0.133162535292153,0.686558419824661,0.122875605769365,0.146365426908118,0.0952323329791439,0.207043384296615,0.14046753676483,0.152935407145068,0.0948734498288225,0.186540579814971,0.337458089338846,0.103910292008613,0.142832833056844,0.0912123322774907,0.12755704599883,0.107845594258604,0.152945131850182,0.140343060700615,0.0974572335718677,0.163516147659512,0.241702625013757
"BIDMC_Slide12",0.113914827923295,0.199944429501631,0.0958584198350488,0.283170217600321,0.108429618275761,0.06916479224739,0.127826754996531,0.104688216173535,0.105402441515788,0.237207054887598,0.131098486224222,0.157725867780013,0.170961661667136,0.122346188855226,0.159529778138328,0.183802304345295,0.142686867553215,0.167492979984382,0.152143597809702,0.146516831527938,0.212326840508122,0.190106824582691,0.184140617082651,0.130659327570494,0.272691591427652
"BIDMC_Slide13",0.0938727357649033,0.110624656262707,0.0547691726613371,NA,0.057590567628319,0.0286472370110344,0.0571665154899428,0.0672761630872461,0.0291037858174083,0.152320243168328,0.0958024608206301,0.117301941952572,0.0601808609932215,0.0624019303206615,0.0188136676643741,0.0510407566216737,0.150865152196995,0.0729586424519864,0.0310038925140919,0.0719961156079172,0.0341408680920337,0.122547364329752,0.0531928951387616,0.166104260151838,0.247516083588683
"BIDMC_Slide14",0.123635996628134,0.151192553852962,0.0500391109867729,0.141851996888353,0.063674886044113,0.0335652823842888,0.0756092755373094,0.077237189209071,0.0419898865490897,0.159798044797303,0.114981185958835,0.125649652837346,0.0849493090281472,0.092888594075322,0.0360495426850693,0.0588361309637126,0.167621700156471,0.10077937383565,0.0767344389755739,0.0896819258481022,0.112999387625209,0.172996306861907,0.106706831511315,0.233342121006681,0.23870364048146
"BIDMC_Slide15",0.0971793059716,0.129894397455981,0.0742339989773401,0.121071044680338,0.0773645153086114,0.0353370500679254,0.0927133647359205,0.0713762000518895,0.0525211371070963,0.169079998314281,0.103064472160568,0.127322003029411,0.0805830960443706,0.098139403489087,0.040647139908604,0.0649775632273004,0.11511486545009,0.0785901406884652,0.0566807441056994,0.0830018005185368,0.109981128664888,0.105705442783872,0.0821384544467061,0.133550134848772,0.22076023101541
"BIDMC_Slide16",0.0778158128609852,0.165134021209781,0.0658450147780983,0.229524766089056,0.0682772541324577,0.0330720110208298,0.0981570305377656,0.0761439000639039,0.0677586903464228,0.186094767753365,0.0841388094917884,0.125157095003325,0.12172194344195,0.0846940296628302,0.0736890814211342,0.0919916690738366,0.109818819832427,0.112683480046569,0.0937262776044643,0.0895768794780781,0.137767205529186,0.135828413215867,0.122650007547679,0.102598028071643,0.219236199475994
"BIDMC_Slide17",0.103183035844103,0.112964861370328,0.0665780773678421,NA,0.0696533372891606,0.0566416340089977,0.0714707620751938,0.0827525311173573,0.034926951181246,0.141488580445536,0.114068140903628,0.124006953143536,0.0815927255505604,0.0792427246799001,0.0262175826321999,0.0535691075633536,0.172911277550158,0.0633360070105121,0.037310987513004,0.0719709333319381,0.0374118287767147,0.138189720772286,0.0616431305516425,0.182894621550001,0.294969722242189
"BIDMC_Slide18",0.135944024403622,0.148969664380282,0.0731254967331458,0.118129147531746,0.0963857586597762,0.0799803203476491,0.100978046373729,0.103311579127918,0.07174972089114,0.150301350889385,0.147339626662918,0.134756362795433,0.103849192290156,0.138166576494367,0.0699009391871083,0.0739857845849347,0.199797421453635,0.106406699503262,0.0802856297377166,0.0972876433535489,0.0931368191700785,0.184275632745889,0.100551792727481,0.219021508365208,0.288772105727868
"BIDMC_Slide19",0.119105149832573,0.141030281292936,0.100727213495916,0.118327326532129,0.0964495831833501,0.0519651472909876,0.10043499760223,0.0862364836732325,0.0758908744187515,0.183866921335459,0.132703144570634,0.122233113880979,0.0931619659949419,0.111343489721819,0.0625721401763834,0.106882024899785,0.120326883739016,0.0864498155344563,0.0719419025813843,0.100533996275613,0.108858426538621,0.124460865643347,0.0861027458103781,0.146128071902267,0.219219919646742
"BIDMC_Slide2",0.186483242037855,0.180013391232188,0.0583664261011277,0.145649803575978,0.0734827757817196,0.0608001375073608,0.0900669053765521,0.100088408623989,0.0508352436317066,0.19916657198065,0.119284946137551,0.146467137762582,0.0891990094947584,0.0952600411816799,0.0782942092186201,0.0710846686482744,0.20321449097893,0.109164970763367,0.091580012192663,0.0806255430837783,0.097101936435838,0.156506126418665,0.0934795724252066,0.213742368596525,0.219805063836149
"BIDMC_Slide20",0.0938588545107866,0.171285464786697,0.100461421118376,0.213303864311296,0.111942640287553,0.0749389574077248,0.126060732494389,0.0984553080257427,0.0854858652438757,0.185571745440956,0.109498124620928,0.130494261715592,0.132117926889724,0.10669867339615,0.075803084786541,0.104967842808355,0.109025297911364,0.105579659012715,0.102579561768585,0.0890642310291055,0.128587406168753,0.134764577184949,0.119246630322944,0.111255755785162,0.218924062961899
"BIDMC_Slide21",0.0805416916407277,0.0954491417773239,0.0496657131697239,NA,0.0518009679277268,0.0277394255427229,0.0558279459634185,0.0586804334580887,0.0244848477328852,0.120216165762871,0.0924154313817164,0.0978909216360467,0.060536030021441,0.0635334381833858,0.0127810456852984,0.0355940136676591,0.145814871101251,0.055586684863883,0.0287329418886358,0.0628123541196861,0.033784518676245,NA,0.0527037091272239,0.156751911790316,0.231230925102339
"BIDMC_Slide22",0.0983125531882616,0.123139963077935,0.0457469450542942,0.107691120023658,0.0632521545939384,0.0362852813661781,0.0708223068136904,0.0698286135231237,0.0397034188559499,0.126557326026364,0.107942961287085,0.107582809204257,0.0781584731771963,0.0922622887568482,0.0213331668394258,0.0441673616376502,0.165110480235542,0.0870529884983119,0.0547995700633691,0.0842603910001106,0.0824900353546645,0.15039168171772,0.0906908902652183,0.197205186148343,0.257774899897313
"BIDMC_Slide23",0.101910114045509,0.119376849119792,0.0853011252196739,0.10085983421064,0.0837500967171068,0.0292570826180489,0.083019098001345,0.0628640034131945,0.0514652439005878,0.140936426599999,0.106131610123938,0.0998101504050736,0.0752981269219365,0.0826132283707961,0.0301864403394675,0.0772716813819712,0.101635532370145,0.0740163961578135,0.0498972743902746,0.0839349882097239,0.0917868483497293,0.0939084441200808,0.0752442981185616,0.115329761730027,0.15989094448296
"BIDMC_Slide24",0.0784311105389696,0.148610778358088,0.0843139127179196,0.205048318287059,0.0803823688889469,0.0578968630931608,0.0956828862494467,0.0677620796249346,0.0604882504092966,0.172108763039567,0.0903973614335397,0.10931912909754,0.107562116358617,0.0745999002684475,0.049845466686759,0.0668102899372657,0.0935127916057312,0.0966869779825543,0.0733630390202726,0.0769602659765607,0.12262262466452,0.110264256065588,0.106761218570463,0.091117166800114,0.216046017522411
"BIDMC_Slide3",0.169545986735413,0.163588066367347,0.0966883107513709,0.152292602085793,0.123080759488484,0.0625670643671847,0.125730030013549,0.0861074722119821,0.0702623327446882,0.193103919533158,0.146409189137101,0.129040066787566,0.09582578587379,0.111095280590043,0.0722776481326219,0.11884197777031,0.136656132093365,0.0956652688972957,0.0932954143330032,0.068598515598054,0.131594832288151,0.115903046076743,0.0993279670592587,0.155820026235483,0.182479046632441
"BIDMC_Slide4",0.102351849531331,0.211716893784701,0.0912436788595482,0.278980079813082,0.105753397602272,0.049930501492996,0.120912565323074,0.0932591119052974,0.0793313273636386,0.236056836564543,0.128177648311877,0.159834304617837,0.130781579629165,0.0955031229231402,0.0932930720898366,0.112413094221767,0.131591204104073,0.135788757190741,0.115373770363428,0.0862377472250354,0.137570039167406,0.138823786290086,0.137121304136009,0.130481846347216,0.230141866617028
"BIDMC_Slide5",0.0995018520478902,0.126777783683677,0.053083190524414,NA,0.0640043552027358,0.0301436278320745,0.0594618426279978,0.0713826260630621,0.0245924671012882,0.162519105208655,0.107191832101713,0.12908754553034,0.0687096223735968,0.0697383661824463,0.0189077828368115,0.0398900855685935,0.18247176420706,0.0784020189264631,0.0337064714805076,0.0557164066840845,0.0339178899351547,0.125968884417487,0.051931156729625,0.167285135435589,0.215236206069724
"BIDMC_Slide6",0.115835545511857,0.146030173268697,0.0383222448114217,0.166439552988546,0.0633635303968357,0.0306536439658501,0.071791619313551,0.0774353793797173,0.0371447885284996,0.199385267050413,0.117031649659388,0.146474685232715,0.0882047676149725,0.0962513207890256,0.0297493722153923,0.0473621830412601,0.168608751735712,0.119414080148728,0.0712854825415517,0.0929932823142908,0.118076532141512,0.152009652802494,0.113648056143856,0.266127417835747,0.302155946072302
"BIDMC_Slide7",0.105620978778885,0.142921326947187,0.0782377911779306,0.124116054651038,0.0865197787563995,0.0357669774992141,0.109580351770217,0.0723920532302914,0.0611872280030192,0.165149856003171,0.12005836048506,0.127839074472186,0.0855815790144658,0.0988940627198665,0.0494984176300228,0.0759219563568661,0.123758034489789,0.0850164431382117,0.0645740253173837,0.0567349834168576,0.109715015050025,0.0980225132444862,0.0817167718582099,0.129601087189062,0.188170817211168
"BIDMC_Slide8",0.0671144944331958,0.146821216954641,0.0813787804234555,0.208434688500083,0.0736113450574349,0.0427451387656278,0.101363144520567,0.0692285221963694,0.060490653499616,0.198865840094578,0.100568045335495,0.139645909370369,0.1149799862635,0.0809102203075465,0.0323720279273681,0.062613290601792,0.111046158478741,0.112854285752734,0.075118673724789,0.0602837399446955,0.116516861592962,0.107948037553927,0.117321648561764,0.0973994547231761,0.179817458518876
"BIDMC_Slide9",0.113198484153218,0.125166189448871,0.0595311137990511,NA,0.0676288562441575,0.042412837984568,0.0683032829266297,0.0869352016895652,0.0383364250219858,0.169468442595299,0.129637332326309,0.132214015250576,0.0817222834984367,0.0801828844301687,0.0393417423358765,0.059683855289752,0.183154498375838,0.0767496342836796,0.042164697738349,0.0767903156332583,0.0406221834306752,0.152739632025651,0.0684671784738549,0.204755983728903,0.271151163534836
