"Staining_condition","CD11c","CD138","CD15","CD20","CD3","CD31","CD4","CD45","CD45RA","CD68","CD8","Granzyme B","H3K27ac","H3K27me3","Pax5","Tox/Tox2","CD11b","Ki67","HLADRA","pS6","FOXP3","PD1","IDO1","Na/KATPase","CK"
"BIDMC_Slide1",0.943397508413656,0.682447061575928,0.834355875066345,0.859158888915766,0.823188826763947,0.912131691450348,NA,0.835166319763492,0.781805320238766,0.757701453591449,0.847013328096769,0.852659544660967,0.901043354479753,0.810026692765006,0.702583973416721,0.883574490808057,NA,0.80253005052586,0.764362891414942,0.845389700494714,0.899380410562523,0.914679391731231,0.884203241527214,0.91670661707042,0.547287665674155
"BIDMC_Slide10",0.905219903578202,0.523873604712788,0.832989628280375,0.828804372766036,0.802501761984607,0.769916127698807,0.610504856135521,0.735004072060614,0.587169838130096,0.743168435919903,0.871574190402338,0.783566590672712,0.747580437306122,0.625571204064751,0.696792275118175,0.850103893002708,0.886324366365155,0.79241163312787,0.682493159569724,0.798412122403718,0.881495520268374,0.894550126532924,0.657365612208173,0.729146944578293,0.402099852490743
"BIDMC_Slide11",0.909846634748543,0.7074573553216,0.732465729206136,0.849684282566377,0.812425361118192,0.799790868236985,0.699910693428105,0.791022711097346,0.711195150557116,0.701613735560375,0.856419531593878,0.791728239310998,0.828658836993398,0.613233512556718,0.801976593026262,0.839574533781446,0.502638865046536,0.818096498670082,0.755744747661468,0.817946632108963,0.688983543080427,0.893897994614476,0.676875946970536,0.787457999083951,0.495506185215662
"BIDMC_Slide12",0.883802890991197,0.597774122183663,0.812649471913332,0.824242989717439,0.853845895084667,0.768847437265624,0.483548818632202,0.697344449250784,0.709949325430188,0.744375998629072,0.870792104870815,0.775175076186389,0.697200397178141,0.521670139484935,0.75829448409467,0.831389128909085,0.914664563299244,0.82138412213101,0.699922524686496,0.729293308509523,0.828169511158513,0.825063478576638,0.613211089987016,0.674553989420256,0.416254756393644
"BIDMC_Slide13",0.956559096942696,0.695085438715011,0.869086301213602,0.884483219406672,0.887182287682871,0.843254217268443,NA,0.808360803726134,0.689421648409124,0.83101299850213,0.918269798143055,0.899573561532643,0.845892930716368,0.649633027940176,0.79776918769784,0.913332674977961,0.947927931958671,0.850531516077027,0.735188812001929,0.866857883252627,0.965403753837872,0.95133156792122,0.862360172007073,0.851456450142004,0.465068734674261
"BIDMC_Slide14",0.917490996936011,0.575574637952866,0.849987211943312,0.850521552428633,0.83647560110688,0.798452897433341,0.649734419920656,0.769175155842985,0.601128374183528,0.758397569821199,0.888252968447826,0.814125987334324,0.766174820593244,0.656951461899346,0.7253708592897,0.870806011789017,0.920640696945645,0.818667807945954,0.708862639600812,0.820781793358329,0.911862974329837,0.920146157996776,0.683282909023743,0.749762067584705,0.434317072492441
"BIDMC_Slide15",0.934491000207335,0.736810994466629,0.829889595526628,0.896404316487805,0.880620710450759,0.828357416802772,0.724824246856218,0.812978406651752,0.726146291156158,0.766367735205105,0.89991275247957,0.857377117721873,0.833308555129562,0.643313607860209,0.821863730723166,0.869297626623945,0.932565341803416,0.849132957799894,0.782241211321505,0.831098773185645,0.92872333233553,0.923938081423292,0.712173790456441,0.798781943674068,0.517600366692287
"BIDMC_Slide16",0.905345614645302,0.627522246986884,0.842299049482453,0.844400292449507,0.887239001916479,0.794290615743552,0.535839092318092,0.730576287124062,0.71201277639757,0.76426850048594,0.894165093002465,0.807749375026054,0.728854455503395,0.560470198480888,0.782125037202857,0.852087833724816,0.930866817266684,0.851832614323187,0.721519879835188,0.764270679457529,0.884719725929433,0.899724014801876,0.650678871721562,0.713949854584095,0.456777091149096
"BIDMC_Slide17",0.956585813900707,0.689260653838596,0.842750925256788,0.902710493974445,0.88195479121055,0.860879414574505,NA,0.843192623310219,0.683407606326774,0.819709522690706,0.905296630029886,0.893731413216693,0.883200907307218,0.721630849532167,0.786794929960706,0.903181230195803,0.928638375394432,0.844362155680741,0.796101070681383,0.857769014531362,0.964743903946274,0.949329451270793,0.857271048558073,0.858653212172722,0.453253828133717
"BIDMC_Slide18",0.914339483417575,0.604543137358536,0.821739480469923,0.854696776610197,0.840915715400991,0.809409250787997,0.72072352881862,0.792840587274427,0.644885794679463,0.743725776872691,0.868421026133197,0.828731515669594,0.787429138886472,0.699149742264284,0.722021934120843,0.868719548185989,0.898132422307952,0.814596749036713,0.736243143114466,0.826653034852257,0.927300015879906,0.921175667653491,0.728725488251572,0.783771566881395,0.402937634406548
"BIDMC_Slide19",0.930104192617406,0.712261671993715,0.818790534916927,0.892144579368996,0.861040728951497,0.804087264904875,0.738905543219254,0.798442847359364,0.710108593054474,0.769186583978784,0.886422922543948,0.853346427132699,0.836446187587518,0.636240809893814,0.828412693483494,0.868290488602549,0.937297748319548,0.835026245411138,0.805402772291477,0.826804548179328,0.934318132311602,0.904114447640602,0.717514177110945,0.798485977040926,0.51422545847596
"BIDMC_Slide2",0.903038280553295,0.661309985563385,0.840437379747817,0.841091649378013,0.761742570383056,0.825466855512558,0.641245928853736,0.758834154345971,0.696332890139595,0.777539663157027,0.870941432413691,0.817332224729909,0.764994954283065,0.62076865196615,0.7145942340408,0.862407686192877,0.902750113161838,0.810127495137966,0.688382499477329,0.826995524713557,0.898400594974969,0.892250148232584,0.724843581471493,0.803767402581131,0.465192755875573
"BIDMC_Slide20",0.89977446600444,0.669877179696794,0.784112063017536,0.847364852946092,0.880524563575383,0.81237967180357,0.57483417136167,0.746490585547442,0.747120224565245,0.757249903476619,0.864301176968593,0.807575766080494,0.749719569203995,0.601280621295678,0.800562163603898,0.835326856263551,0.906606525299993,0.838412313363539,0.753814804855312,0.760464520888186,0.904158211640604,0.891447465609233,0.672543813264924,0.730187453647453,0.477432899677171
"BIDMC_Slide21",0.960272055174837,NA,0.865915387628228,0.91590646278652,0.907661577362801,0.862802581812173,NA,0.878549287934025,0.713708291692179,0.828042597244208,0.919617557566035,0.902398142324249,0.89520467209283,0.753313346433713,0.805121623338351,0.914332445899131,0.941014741874834,0.85922272855416,0.816646306160398,0.879130266053384,0.970111885075793,0.956408043503505,0.859731156979274,0.879752299223448,0.484110412619658
"BIDMC_Slide22",0.928036014471844,0.630680737265734,0.857477395751136,0.874570964103286,0.875181288990189,0.818412312939166,0.735989029620689,0.827850871601665,0.671586189782839,0.773073421504095,0.895029668485871,0.847396906148293,0.803005890971626,0.72544878123364,0.742981959244933,0.890752868066108,0.923279398058141,0.839373092536397,0.753121517928256,0.843769363040604,0.9427645132841,0.938236671367375,0.72931173874174,0.801328952277711,0.415873100187511
"BIDMC_Slide23",0.941540383165207,0.796250295104149,0.828326817996637,0.920957254464923,0.889093341423247,0.84350469601321,0.779997083262131,0.850931198589991,0.773440407113576,0.789122593410921,0.89442719945902,0.869029572734001,0.857166963784498,0.71489195326339,0.850979078506713,0.887673531404743,0.946801724556157,0.85511396250533,0.855996821035532,0.851574122513273,0.948819348410238,0.926584945633733,0.737484033127812,0.832848567452051,0.606790596271385
"BIDMC_Slide24",0.917847635418437,0.704083364166341,0.821474805952788,0.865717429063429,0.908659340756121,0.830329471981288,0.586927357054435,0.781388535662559,0.797741947200084,0.778876742626608,0.895994322683844,0.830983318280755,0.765087068649476,0.622359961990404,0.815248659697105,0.862328657776764,0.927852194784885,0.858258219681463,0.768219995400222,0.783635482596624,0.92617381139896,0.923935159365749,0.667085824499754,0.75143318043365,0.481705300142128
"BIDMC_Slide3",0.914276907664482,0.790749992735136,0.801740246326212,0.894405243973544,0.799213772686732,0.883917049130371,0.664019190452613,0.818368398122927,0.793064187887787,0.757353619740273,0.852457703214314,0.828946109787998,0.8283088393144,0.66838457268784,0.812128659515664,0.830282756824459,0.910259368564818,0.806909598108891,0.800128327363765,0.818154188841515,0.908224587582745,0.861804401737717,0.697549990533417,0.822424036505528,0.591639273548871
"BIDMC_Slide4",0.874490103037621,0.685157795513102,0.783057341920502,0.833997479252378,0.853813002447908,0.814957384023678,0.455097314238411,0.729171365153785,0.775810877780037,0.749268738758712,0.844437321390524,0.785151159132722,0.703705014054875,0.546069111398717,0.760301532889135,0.818928643509186,0.903205831093922,0.804759318543357,0.690331544112884,0.760836116382355,0.85939178311249,0.844900388978666,0.663109739582819,0.712424490727422,0.476305311593679
"BIDMC_Slide5",0.951986095514654,0.726070352035537,0.85533323637825,0.889144312519529,0.875952337290545,0.885778172707689,NA,0.839374877566227,0.790266694069763,0.813973881249857,0.899275632054243,0.898183349479144,0.864682889670265,0.730624317981652,0.768190690497425,0.901261774778157,0.933168727890357,0.831111954544907,0.751197661542334,0.864910746593642,0.961695445970849,0.943552248329042,0.892302299340805,0.926202105111036,0.527141053724912
"BIDMC_Slide6",0.904508806865135,0.563715486858163,0.850939822022421,0.827303961681632,0.822223177905263,0.756808111472198,0.569672230610831,0.767970227200894,0.586972959687641,0.738436792823746,0.869736758410331,0.800142722778798,0.690419730693415,0.576292118809231,0.702736583851122,0.86061917249722,0.904101378870954,0.803746295597591,0.63708373428176,0.78200582071336,0.910562160477322,0.905512491173555,0.647254708636578,0.697007709901498,0.298636021856321
"BIDMC_Slide7",0.920432586709135,0.800245977209484,0.833581993624228,0.896048392209364,0.875169406832404,0.900191244188598,0.712248388630751,0.831174937415316,0.801522634904798,0.764729453468776,0.883206425326005,0.853362138337853,0.836103941688416,0.701316003261785,0.825861572614027,0.845261952094526,0.930346474023057,0.828278928281283,0.792334249991065,0.830022841591357,0.92104576683956,0.904205145270445,0.716655419342638,0.844088025164706,0.586358273129767
"BIDMC_Slide8",0.899652702113537,0.728324132363216,0.80979110684646,0.858146628013494,0.901544546371945,0.854717702885536,0.527808363071903,0.771144000980367,0.836281247980794,0.759220352194781,0.88116006511756,0.820622702616248,0.730610217262199,0.610081861018828,0.785403467529928,0.836754905855243,0.911363207546922,0.828288465475521,0.705505571843001,0.773239794561888,0.935003517483406,0.904141616736323,0.679135659928356,0.729003482125969,0.519346599169865
"BIDMC_Slide9",0.947744448269624,0.68130304896645,0.857658020071223,0.884011027613412,0.856900548218544,0.847033575267122,NA,0.809847007984158,0.662384097289584,0.812476139091035,0.906250451877715,0.882776970221459,0.865242471287844,0.69211524971437,0.768476347097249,0.898177608272833,0.936785937080404,0.818307880162823,0.759951055435531,0.84309723621402,0.952726639616919,0.940197567675871,0.85014118007433,0.838231041628922,0.469018826832939
